title	type	alias	null1	categories	null2	related	null3	links	disambiguation	image	abstract	sourceurl
cluster (definition)	A			Perl Glossary							<section class="prog__container"><p>A parenthesized <b>subpattern</b> used to group parts of a <b>regular expression</b> into a single <b>atom</b>.</p></section>	http://perldoc.perl.org/perlglossary.html#cluster
Odd number of elements in hash assignment	A			Perl Diagnostics							<section class="prog__container"><p>(W misc) You specified an odd number of elements to initialize a hash, which is odd, because hashes come in key/value pairs.</p></section>	http://perldoc.perl.org/perldiag.html#Odd-number-of-elements-in-hash-assignment
minimalism (definition)	A			Perl Glossary							<section class="prog__container"><p>The belief that “small is beautiful”. Paradoxically, if you say something in a small language, it turns out big, and if you say it in a big language, it turns out small. Go figure.</p></section>	http://perldoc.perl.org/perlglossary.html#minimalism
Unexpected character in regex; marked by <-- HERE in m/%s/	A			Perl Diagnostics							<section class="prog__container"><p>(F) You had something like this:</p><pre class="verbatim"><ol><li> <span class="s">(</span><span class="q">?[ z ])</span></li></ol></pre><p>Within <code class="inline"><span class="s">(</span><span class="q">?[ ])</span></code> , no literal characters are allowed unless they are within an inner pair of square brackets, like</p><pre class="verbatim"><ol><li> <span class="s">(</span><span class="q">?[ [ z ] ])</span></li></ol></pre><p>Another possibility is that you forgot a backslash.  Perl isn&#39;t smart enough to figure out what you really meant.</p></section>	http://perldoc.perl.org/perldiag.html#Unexpected-character-in-regex%3b-marked-by-%3c---HERE-in-m%2f%25s%2f
How do I fetch an HTML file?	A			Perl FAQs\nPerl Web, Email and Networking							<section class="prog__container"><p>(contributed by brian d foy)</p><p>Use the libwww-perl distribution. The <span href="http://search.cpan.org/perldoc/LWP::Simple">LWP::Simple</span> module can fetch web resources and give their content back to you as a string:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">LWP::Simple</span> <span class="q">qw(get)</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$html</span> = <span class="i">get</span><span class="s">(</span> <span class="q">&quot;<span href="http://www.example.com/index.html">http://www.example.com/index.html</span>&quot;</span> <span class="s">)</span><span class="sc">;</span></li></ol></pre><p>It can also store the resource directly in a file:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">LWP::Simple</span> <span class="q">qw(getstore)</span><span class="sc">;</span></li><li></li><li>    <span class="i">getstore</span><span class="s">(</span> <span class="q">&quot;<span href="http://www.example.com/index.html">http://www.example.com/index.html</span>&quot;</span><span class="cm">,</span> <span class="q">&quot;foo.html&quot;</span> <span class="s">)</span><span class="sc">;</span></li></ol></pre><p>If you need to do something more complicated, you can use <span href="http://search.cpan.org/perldoc/LWP::UserAgent">LWP::UserAgent</span> module to create your own user-agent (e.g. browser) to get the job done. If you want to simulate an interactive web browser, you can use the <span href="http://search.cpan.org/perldoc/WWW::Mechanize">WWW::Mechanize</span> module.</p></section>	http://perldoc.perl.org/perlfaq9.html#How-do-I-fetch-an-HTML-file%3f
default (function)	A			Perl Functions							<section class="prog__container"><pre>default</pre><p>These flow-control keywords related to the experimental switch feature are documented in <span href="http://perldoc.perl.org/perlsyn.html#Switch-Statements">Switch Statements in perlsyn</span>.</p></section>	http://perldoc.perl.org/functions/default.html
How can I get a binary version of Perl?	A			Perl FAQs\nPerl Obtaining and Learning about Perl							<section class="prog__container"><p>See <span href="http://search.cpan.org/perldoc/http:#%2fwww.cpan.org%2fports%2f">CPAN Ports</span></p></section>	http://perldoc.perl.org/perlfaq2.html#How-can-I-get-a-binary-version-of-Perl%3f
IO layers (like '%s') unavailable	A			Perl Diagnostics							<section class="prog__container"><p>(F) Your Perl has not been configured to have PerlIO, and therefore you cannot use IO layers.  To have PerlIO, Perl must be configured with &#39;useperlio&#39;.</p></section>	http://perldoc.perl.org/perldiag.html#IO-layers-(like-'%25s')-unavailable
interpolation (definition)	A			Perl Glossary							<section class="prog__container"><p>The insertion of a scalar or list value somewhere in the middle of another value, such that it appears to have been there all along. In Perl, variable interpolation happens in double-quoted strings and patterns, and list interpolation occurs when constructing the list of values to pass to a list operator or other such construct that takes a <i><code class="inline"><span class="w">LIST</span></code> </i>.</p></section>	http://perldoc.perl.org/perlglossary.html#interpolation
The 'unique' attribute may only be applied to 'our' variables	A			Perl Diagnostics							<section class="prog__container"><p>(F) This attribute was never supported on <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span></code> or <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/sub.html">sub</span></code> declarations.</p></section>	http://perldoc.perl.org/perldiag.html#The-'unique'-attribute-may-only-be-applied-to-'our'-variables
I18N::LangTags::Detect (module)	A			Perl Standard Modules		[[I18N::LangTags]]\n[[Win32::Locale]]\n[[Locale::Maketext]]					<section class="prog__container"><p>I18N::LangTags::Detect - detect the user&#39;s language preferences</p> <pre class="verbatim"><ol><li>  <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">I18N::LangTags::Detect</span><span class="sc">;</span></li><li>  <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">@user_wants</span> = <span class="i">I18N::LangTags::Detect::detect</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/I18N/LangTags/Detect.html
Binary "-" operator	A			Perl Operators\nPerl Additive Operators							<section class="prog__container">Binary &quot;-&quot; returns the difference of two numbers.</section>	http://perldoc.perl.org/perlop.html#Additive-Operators
delete (function)	A			Perl Functions\nPerl Functions for real %HASHes							<section class="prog__container"><pre>delete EXPR</pre><p>Given an expression that specifies an element or slice of a hash, <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span></code> deletes the specified elements from that hash so that exists() on that element no longer returns true.  Setting a hash element to the undefined value does not remove its key, but deleting it does; see <span href="http://perldoc.perl.org/functions/exists.html">exists</span>.</p><p>In list context, returns the value or values deleted, or the last such element in scalar context.  The return list&#39;s length always matches that of the argument list: deleting non-existent elements returns the undefined value in their corresponding positions.</p><p>delete() may also be used on arrays and array slices, but its behavior is less straightforward.  Although exists() will return false for deleted entries, deleting array elements never changes indices of existing values; use shift() or splice() for that.  However, if any deleted elements fall at the end of an array, the array&#39;s size shrinks to the position of the highest element that still tests true for exists(), or to 0 if none do.  In other words, an array won&#39;t have trailing nonexistent elements after a delete.</p><p><b>WARNING:</b> Calling <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span></code> on array values is strongly discouraged.  The notion of deleting or checking the existence of Perl array elements is not conceptually coherent, and can lead to surprising behavior.</p><p>Deleting from <code class="inline"><span class="i">%ENV</span></code>  modifies the environment.  Deleting from a hash tied to a DBM file deletes the entry from the DBM file.  Deleting from a <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/tied.html">tied</span></code> hash or array may not necessarily return anything; it depends on the implementation of the <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/tied.html">tied</span></code> package&#39;s DELETE method, which may do whatever it pleases.</p><p>The <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="l_k" href="http://perldoc.perl.org/functions/local.html">local</span> <span class="w">EXPR</span></code>  construct localizes the deletion to the current block at run time.  Until the block exits, elements locally deleted temporarily no longer exist.  See <span href="http://perldoc.perl.org/perlsub.html#Localized-deletion-of-elements-of-composite-types">Localized deletion of elements of composite types in perlsub</span>.</p><pre class="verbatim"><ol><li>    <span class="i">%hash</span> = <span class="s">(</span><span class="w">foo</span> <span class="cm">=&gt;</span> <span class="n">11</span><span class="cm">,</span> <span class="w">bar</span> <span class="cm">=&gt;</span> <span class="n">22</span><span class="cm">,</span> <span class="w">baz</span> <span class="cm">=&gt;</span> <span class="n">33</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$scalar</span> = <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">$hash</span>{<span class="w">foo</span>}<span class="sc">;</span>         <span class="c"># $scalar is 11</span></li><li>    <span class="i">$scalar</span> = <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">@hash</span>{<span class="q">qw(foo bar)</span>}<span class="sc">;</span> <span class="c"># $scalar is 22</span></li><li>    <span class="i">@array</span>  = <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">@hash</span>{<span class="q">qw(foo baz)</span>}<span class="sc">;</span> <span class="c"># @array  is (undef,33)</span></li></ol></pre><p>The following (inefficiently) deletes all the values of %HASH and @ARRAY:</p><pre class="verbatim"><ol><li>    foreach <span class="i">$key</span> <span class="s">(</span><span class="l_k" href="http://perldoc.perl.org/functions/keys.html">keys</span> <span class="i">%HASH</span><span class="s">)</span> <span class="s">{</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">$HASH</span>{<span class="i">$key</span>}<span class="sc">;</span></li><li>    <span class="s">}</span></li><li></li><li>    foreach <span class="i">$index</span> <span class="s">(</span><span class="n">0</span> .. <span class="i">$#ARRAY</span><span class="s">)</span> <span class="s">{</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">$ARRAY</span>[<span class="i">$index</span>]<span class="sc">;</span></li><li>    <span class="s">}</span></li></ol></pre><p>And so do these:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">@HASH</span>{<span class="l_k" href="http://perldoc.perl.org/functions/keys.html">keys</span> <span class="i">%HASH</span>}<span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">@ARRAY</span>[<span class="n">0</span> .. <span class="i">$#ARRAY</span>]<span class="sc">;</span></li></ol></pre><p>But both are slower than assigning the empty list or undefining %HASH or @ARRAY, which is the customary  way to empty out an aggregate:</p><pre class="verbatim"><ol><li>    <span class="i">%HASH</span> = <span class="s">(</span><span class="s">)</span><span class="sc">;</span>     <span class="c"># completely empty %HASH</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span> <span class="i">%HASH</span><span class="sc">;</span>    <span class="c"># forget %HASH ever existed</span></li><li></li><li>    <span class="i">@ARRAY</span> = <span class="s">(</span><span class="s">)</span><span class="sc">;</span>    <span class="c"># completely empty @ARRAY</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span> <span class="i">@ARRAY</span><span class="sc">;</span>   <span class="c"># forget @ARRAY ever existed</span></li></ol></pre><p>The EXPR can be arbitrarily complicated provided its final operation is an element or slice of an aggregate:</p><pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">$ref</span>-&gt;[<span class="i">$x</span>][<span class="i">$y</span>]{<span class="i">$key</span>}<span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">@</span>{<span class="i">$ref</span>-&gt;[<span class="i">$x</span>][<span class="i">$y</span>]}{<span class="i">$key1</span><span class="cm">,</span> <span class="i">$key2</span><span class="cm">,</span> <span class="i">@morekeys</span>}<span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">$ref</span>-&gt;[<span class="i">$x</span>][<span class="i">$y</span>][<span class="i">$index</span>]<span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/delete.html">delete</span> <span class="i">@</span>{<span class="i">$ref</span>-&gt;[<span class="i">$x</span>][<span class="i">$y</span>]}[<span class="i">$index1</span><span class="cm">,</span> <span class="i">$index2</span><span class="cm">,</span> <span class="i">@moreindices</span>]<span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/functions/delete.html
Can't call method "%s" on an undefined value	A			Perl Diagnostics							<section class="prog__container"><p>(F) You used the syntax of a method call, but the slot filled by the object reference or package name contains an undefined value.  Something like this will reproduce the error:</p><pre class="verbatim"><ol><li>    <span class="i">$BADREF</span> = <span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span><span class="sc">;</span></li><li>    <span class="w">process</span> <span class="i">$BADREF</span> <span class="n">1</span><span class="cm">,</span><span class="n">2</span><span class="cm">,</span><span class="n">3</span><span class="sc">;</span></li><li>    <span class="i">$BADREF</span><span class="i">-&gt;process</span><span class="s">(</span><span class="n">1</span><span class="cm">,</span><span class="n">2</span><span class="cm">,</span><span class="n">3</span><span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/perldiag.html#Can't-call-method-%22%25s%22-on-an-undefined-value
Tie::RefHash (module)	A			Perl Standard Modules							<section class="prog__container"><p>Tie::RefHash - use references as hash keys</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/require.html">require</span> <span class="n">5.004</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Tie::RefHash</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/tie.html">tie</span> <span class="w">HASHVARIABLE</span><span class="cm">,</span> <span class="q">&#39;Tie::RefHash&#39;</span><span class="cm">,</span> <span class="w">LIST</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/tie.html">tie</span> <span class="w">HASHVARIABLE</span><span class="cm">,</span> <span class="q">&#39;Tie::RefHash::Nestable&#39;</span><span class="cm">,</span> <span class="w">LIST</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/untie.html">untie</span> <span class="w">HASHVARIABLE</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/Tie/RefHash.html
I/O (definition)	A			Perl Glossary							<section class="prog__container"><p>Input from, or output to, a <b>file</b> or <b>device</b>.</p></section>	http://perldoc.perl.org/perlglossary.html#I%2fO
Operation "%s" returns its argument for non-Unicode code point 0x%X	A			Perl Diagnostics							<section class="prog__container"><p>(S non_unicode) You performed an operation requiring Unicode rules on a code point that is not in Unicode, so what it should do is not defined.  Perl has chosen to have it do nothing, and warn you.</p><p>If the operation shown is &quot;ToFold&quot;, it means that case-insensitive matching in a regular expression was done on the code point.</p><p>If you know what you are doing you can turn off this warning by <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/no.html">no</span> <span class="w">warnings</span> <span class="q">&#39;non_unicode&#39;</span><span class="sc">;</span></code> .</p></section>	http://perldoc.perl.org/perldiag.html#Operation-%22%25s%22-returns-its-argument-for-non-Unicode-code-point-0x%25X
semaphore (definition)	A			Perl Glossary							<section class="prog__container"><p>A fancy kind of interlock that prevents multiple <b>threads</b> or <b>processes</b> from using up the same resources simultaneously.</p></section>	http://perldoc.perl.org/perlglossary.html#semaphore
Can't "last" outside a loop block	A			Perl Diagnostics							<section class="prog__container"><p>(F) A &quot;last&quot; statement was executed to break out of the current block, except that there&#39;s this itty bitty problem called there isn&#39;t a current block.  Note that an &quot;if&quot; or &quot;else&quot; block doesn&#39;t count as a &quot;loopish&quot; block, as doesn&#39;t a block given to sort(), map() or grep().  You can usually double the curlies to get the same effect though, because the inner curlies will be considered a block that loops once.  See <span href="http://perldoc.perl.org/functions/last.html">last</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Can't-%22last%22-outside-a-loop-block
TAP::Parser::Result (module)	A			Perl Standard Modules		[[TAP::Object]]\n[[TAP::Parser]]\n[[TAP::Parser::ResultFactory]]\n[[TAP::Parser::Result::Bailout]]\n[[TAP::Parser::Result::Comment]]\n[[TAP::Parser::Result::Plan]]\n[[TAP::Parser::Result::Pragma]]\n[[TAP::Parser::Result::Test]]\n[[TAP::Parser::Result::Unknown]]\n[[TAP::Parser::Result::Version]]\n[[TAP::Parser::Result::YAML]]					<section class="prog__container"><p>TAP::Parser::Result - Base class for TAP::Parser output objects</p> <pre class="verbatim"><ol><li>  <span class="c"># abstract class - not meant to be used directly</span></li><li>  <span class="c"># see TAP::Parser::ResultFactory for preferred usage</span></li><li></li><li>  <span class="c"># directly:</span></li><li>  <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">TAP::Parser::Result</span><span class="sc">;</span></li><li>  <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$token</span>  = <span class="s">{</span>...<span class="s">}</span><span class="sc">;</span></li><li>  <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$result</span> = <span class="w">TAP::Parser::Result</span><span class="w">-&gt;new</span><span class="s">(</span> <span class="i">$token</span> <span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/TAP/Parser/Result.html
scalar value (definition)	A			Perl Glossary							<section class="prog__container"><p>A value that happens to be a <b>scalar</b> as opposed to a <b>list</b>.</p></section>	http://perldoc.perl.org/perlglossary.html#scalar-value
__SUB__ (function)	A			Perl Functions							<section class="prog__container"><pre>__SUB__</pre><p>A special token that returns a reference to the current subroutine, or <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span></code> outside of a subroutine.</p><p>The behaviour of <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/__SUB__.html">__SUB__</span></code> within a regex code block (such as <code class="inline"><span class="q">/(?{...})/</span></code> ) is subject to change.</p><p>This token is only available under <code class="inline"><span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="v">v5.16</span></code>  or the &quot;current_sub&quot; feature.  See <span href="http://perldoc.perl.org/feature.html">feature</span>.</p></section>	http://perldoc.perl.org/functions/__SUB__.html
Assigned value is not %s reference	A			Perl Diagnostics							<section class="prog__container"><p>(F) You tried to assign a reference to a reference constructor, but the two references were not of the same type.  You cannot alias a scalar to an array, or an array to a hash; the two types must match.</p><pre class="verbatim"><ol><li>    \\<span class="i">$x</span> = \\<span class="i">@y</span><span class="sc">;</span>  <span class="c"># error</span></li><li>    \\<span class="i">@x</span> = \\<span class="i">%y</span><span class="sc">;</span>  <span class="c"># error</span></li><li>     <span class="i">$y</span> = <span class="s">[</span><span class="s">]</span><span class="sc">;</span></li><li>    \\<span class="i">$x</span> = <span class="i">$y</span><span class="sc">;</span>   <span class="c"># error; did you mean \\$y?</span></li></ol></pre></section>	http://perldoc.perl.org/perldiag.html#Assigned-value-is-not-%25s-reference
IO::Handle (module)	A			Perl Standard Modules		[[perlfunc]]\n[[I/O Operators in perlop]]\n[[IO::File]]					<section class="prog__container"><p>IO::Handle - supply object methods for I/O handles</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">IO::Handle</span><span class="sc">;</span></li><li></li><li>    <span class="i">$io</span> = <span class="w">IO::Handle</span><span class="w">-&gt;new</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    if <span class="s">(</span><span class="i">$io</span><span class="i">-&gt;fdopen</span><span class="s">(</span><span class="l_k" href="http://perldoc.perl.org/functions/fileno.html">fileno</span><span class="s">(</span><span class="w">STDIN</span><span class="s">)</span><span class="cm">,</span><span class="q">&quot;r&quot;</span><span class="s">)</span><span class="s">)</span> <span class="s">{</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="i">$io</span><span class="i">-&gt;getline</span><span class="sc">;</span></li><li>        <span class="i">$io</span><span class="i">-&gt;close</span><span class="sc">;</span></li><li>    <span class="s">}</span></li><li></li><li>    <span class="i">$io</span> = <span class="w">IO::Handle</span><span class="w">-&gt;new</span><span class="s">(</span><span class="s">)</span><span class="sc">;</span></li><li>    if <span class="s">(</span><span class="i">$io</span><span class="i">-&gt;fdopen</span><span class="s">(</span><span class="l_k" href="http://perldoc.perl.org/functions/fileno.html">fileno</span><span class="s">(</span><span class="w">STDOUT</span><span class="s">)</span><span class="cm">,</span><span class="q">&quot;w&quot;</span><span class="s">)</span><span class="s">)</span> <span class="s">{</span></li><li>        <span class="i">$io</span><span class="i">-&gt;print</span><span class="s">(</span><span class="q">&quot;Some text\\n&quot;</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="s">}</span></li><li></li><li>    <span class="c"># setvbuf is not available by default on Perls 5.8.0 and later.</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">IO::Handle</span> <span class="q">&#39;_IOLBF&#39;</span><span class="sc">;</span></li><li>    <span class="i">$io</span><span class="i">-&gt;setvbuf</span><span class="s">(</span><span class="i">$buffer_var</span><span class="cm">,</span> <span class="w">_IOLBF</span><span class="cm">,</span> <span class="n">1024</span><span class="s">)</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span> <span class="i">$io</span><span class="sc">;</span>       <span class="c"># automatically closes the file if it&#39;s open</span></li><li></li><li>    <span class="w">autoflush</span> <span class="w">STDOUT</span> <span class="n">1</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/IO/Handle.html
getgrent (function)	A			Perl Functions\nPerl Fetching user and group info							<section class="prog__container"><pre>getgrent</pre>Get next group record.</section>	http://perldoc.perl.org/functions/getgrent.html
protocol (definition)	A			Perl Glossary							<section class="prog__container"><p>In networking, an agreed-upon way of sending messages back and forth so that neither correspondent will get too confused.</p></section>	http://perldoc.perl.org/perlglossary.html#protocol
TAP::Parser::Scheduler::Spinner (module)	A			Perl Standard Modules		[[TAP::Parser::Scheduler]]\n[[TAP::Parser::Scheduler::Job]]					<section class="prog__container"><p>TAP::Parser::Scheduler::Spinner - A no-op job.</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">TAP::Parser::Scheduler::Spinner</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/TAP/Parser/Scheduler/Spinner.html
socket (definition)	A			Perl Glossary							<section class="prog__container"><p>An endpoint for network communication among multiple <b>processes</b> that works much like a telephone or a post office box. The most important thing about a socket is its <b>network address</b> (like a phone number). Different kinds of sockets have different kinds of addresses—some look like filenames, and some don’t.</p></section>	http://perldoc.perl.org/perlglossary.html#socket
Net::NNTP (module)	A			Perl Standard Modules		[[Net::Cmd]]\n[[IO::Socket::SSL]]					<section class="prog__container"><p>Net::NNTP - NNTP Client class</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Net::NNTP</span><span class="sc">;</span></li><li></li><li>    <span class="i">$nntp</span> = <span class="w">Net::NNTP</span><span class="w">-&gt;new</span><span class="s">(</span><span class="q">&quot;some.host.name&quot;</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$nntp</span><span class="i">-&gt;quit</span><span class="sc">;</span></li><li></li><li>    <span class="c"># start with SSL, e.g. nntps</span></li><li>    <span class="i">$nntp</span> = <span class="w">Net::NNTP</span><span class="w">-&gt;new</span><span class="s">(</span><span class="q">&quot;some.host.name&quot;</span><span class="cm">,</span> <span class="w">SSL</span> <span class="cm">=&gt;</span> <span class="n">1</span><span class="s">)</span><span class="sc">;</span></li><li></li><li>    <span class="c"># start with plain and upgrade to SSL</span></li><li>    <span class="i">$nntp</span> = <span class="w">Net::NNTP</span><span class="w">-&gt;new</span><span class="s">(</span><span class="q">&quot;some.host.name&quot;</span><span class="s">)</span><span class="sc">;</span></li><li>    <span class="i">$nntp</span><span class="i">-&gt;starttls</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/Net/NNTP.html
Text::Tabs (module)	A			Perl Standard Modules							<section class="prog__container"><p>Text::Tabs - expand and unexpand tabs like unix expand(1) and unexpand(1)</p> <pre class="verbatim"><ol><li>  <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Text::Tabs</span><span class="sc">;</span></li><li></li><li>  <span class="i">$tabstop</span> = <span class="n">4</span><span class="sc">;</span>  <span class="c"># default = 8</span></li><li>  <span class="i">@lines_without_tabs</span> = <span class="i">expand</span><span class="s">(</span><span class="i">@lines_with_tabs</span><span class="s">)</span><span class="sc">;</span></li><li>  <span class="i">@lines_with_tabs</span> = <span class="i">unexpand</span><span class="s">(</span><span class="i">@lines_without_tabs</span><span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/Text/Tabs.html
-v	A			Perl Command-Line Switches							<section class="prog__container"><p>prints the version and patchlevel of your perl executable.</p></section>	http://perldoc.perl.org/perlrun.html#*-v*
Attempt to use reference as lvalue in substr	A			Perl Diagnostics							<section class="prog__container"><p>(W substr) You supplied a reference as the first argument to substr() used as an lvalue, which is pretty strange.  Perhaps you forgot to dereference it first.  See <span href="http://perldoc.perl.org/functions/substr.html">substr</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Attempt-to-use-reference-as-lvalue-in-substr
TAP::Parser (module)	A			Perl Standard Modules							<section class="prog__container"><p>TAP::Parser - Parse <span href="http://search.cpan.org/perldoc/Test::Harness::TAP">TAP</span> output</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">TAP::Parser</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$parser</span> = <span class="w">TAP::Parser</span><span class="w">-&gt;new</span><span class="s">(</span> <span class="s">{</span> <span class="w">source</span> <span class="cm">=&gt;</span> <span class="i">$source</span> <span class="s">}</span> <span class="s">)</span><span class="sc">;</span></li><li></li><li>    while <span class="s">(</span> <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$result</span> = <span class="i">$parser</span><span class="i">-&gt;next</span> <span class="s">)</span> <span class="s">{</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/print.html">print</span> <span class="i">$result</span><span class="i">-&gt;as_string</span><span class="sc">;</span></li><li>    <span class="s">}</span></li></ol></pre></section>	http://perldoc.perl.org/TAP/Parser.html
Copy method did not return a reference	A			Perl Diagnostics							<section class="prog__container"><p>(F) The method which overloads &quot;=&quot; is buggy.  See <span href="http://perldoc.perl.org/overload.html#Copy-Constructor">Copy Constructor in overload</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Copy-method-did-not-return-a-reference
Reference to nonexistent named group in regex; marked by <-- HERE in m/%s/	A			Perl Diagnostics							<section class="prog__container"><p>(F) You used something like <code class="inline">\\k&#39;NAME&#39;</code> or <code class="inline">\\<span class="w">k</span><span class="q">&lt;NAME&gt;</span></code>  in your regular expression, but there is no corresponding named capturing parentheses such as <code class="inline">(?&#39;NAME&#39;...)</code> or <code class="inline"><span class="s">(</span><span class="q">?&lt;NAME&gt;...)</span></code> .  Check if the name has been spelled correctly both in the backreference and the declaration.</p><p>The &lt;-- HERE shows whereabouts in the regular expression the problem was discovered.</p></section>	http://perldoc.perl.org/perldiag.html#Reference-to-nonexistent-named-group-in-regex%3b-marked-by-%3c---HERE-in-m%2f%25s%2f
