	R	jQuery()										
.htmlPrefilter	R	jQuery.htmlPrefilter()										
.htmlPrefilter()	R	jQuery.htmlPrefilter()										
.inArray	R	jQuery.inArray()										
.inArray()	R	jQuery.inArray()										
.index	R	.index()										
.index()	A			jQuery Miscellaneous\njQuery Dom Element Methods							<section class="prog__container"><p>Search for a given element from among the matched elements.</p><pre><code>$(selector).index() → Integer\n$(selector).index(selector) → Integer\n$(selector).index(element) → Integer</code></pre><p>Arguments</p><pre><code>selector (Selector) : A selector representing a jQuery collection in which to look for an element.\nelement (Element| jQuery) : The DOM element or first element within the jQuery object to look for.</code></pre></section>	https://api.jquery.com/index/
.innerHeight	R	.innerHeight()										
.innerHeight()	A			jQuery Css\njQuery Dimensions\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current computed height for the first element in the set of matched elements, including padding but not border.</p><pre><code>$(selector).innerHeight() → Number</code></pre>\n<p>Set the CSS inner height of each element in the set of matched elements.</p><pre><code>$(selector).innerHeight(value) → jQuery\n$(selector).innerHeight(function) → jQuery</code></pre><p>Arguments</p><pre><code>value (String| Number) : A number representing the number of pixels, or a number along with an optional unit of measure appended (as a string).\nfunction (Function) : A function returning the inner height (including padding but not border) to set. Receives the index position of the element in the set and the old inner height as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/innerHeight/
.innerWidth	R	.innerWidth()										
.innerWidth()	A			jQuery Css\njQuery Dimensions\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current computed inner width for the first element in the set of matched elements, including padding but not border.</p><pre><code>$(selector).innerWidth() → Number</code></pre>\n<p>Set the CSS inner width of each element in the set of matched elements.</p><pre><code>$(selector).innerWidth(value) → jQuery\n$(selector).innerWidth(function) → jQuery</code></pre><p>Arguments</p><pre><code>value (String| Number) : A number representing the number of pixels, or a number along with an optional unit of measure appended (as a string).\nfunction (Function) : A function returning the inner width (including padding but not border) to set. Receives the index position of the element in the set and the old inner width as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/innerWidth/
.insertAfter	R	.insertAfter()										
.insertAfter()	A			jQuery Manipulation\njQuery Dom Insertion Outside							<section class="prog__container"><p>Insert every element in the set of matched elements after the target.</p><pre><code>$(selector).insertAfter(target) → jQuery</code></pre><p>Arguments</p><pre><code>target (Selector| htmlString| Element| Array| jQuery) : A selector, element, array of elements, HTML string, or jQuery object; the matched set of elements will be inserted after the element(s) specified by this parameter.</code></pre></section>	https://api.jquery.com/insertAfter/
.insertBefore	R	.insertBefore()										
.insertBefore()	A			jQuery Manipulation\njQuery Dom Insertion Outside							<section class="prog__container"><p>Insert every element in the set of matched elements before the target.</p><pre><code>$(selector).insertBefore(target) → jQuery</code></pre><p>Arguments</p><pre><code>target (Selector| htmlString| Element| Array| jQuery) : A selector, element, array of elements, HTML string, or jQuery object; the matched set of elements will be inserted before the element(s) specified by this parameter.</code></pre></section>	https://api.jquery.com/insertBefore/
.is	R	.is()										
.is()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Check the current matched set of elements against a selector, element, or jQuery object and return true if at least one of these elements matches the given arguments.</p><pre><code>$(selector).is(selector) → Boolean\n$(selector).is(function) → Boolean\n$(selector).is(selection) → Boolean\n$(selector).is(elements) → Boolean</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.\nfunction (Function) : A function used as a test for every element in the set. It accepts two arguments, index, which is the element's index in the jQuery collection, and element, which is the DOM element. Within the function, this refers to the current DOM element.\nselection (jQuery) : An existing jQuery object to match the current set of elements against.\nelements (Element) : One or more elements to match the current set of elements against.</code></pre></section>	https://api.jquery.com/is/
.isArray	R	jQuery.isArray()										
.isArray()	R	jQuery.isArray()										
.isDefaultPrevented	R	event.isDefaultPrevented()										
.isDefaultPrevented()	R	event.isDefaultPrevented()										
.isEmptyObject	R	jQuery.isEmptyObject()										
.isEmptyObject()	R	jQuery.isEmptyObject()										
.isFunction	R	jQuery.isFunction()										
.isFunction()	R	jQuery.isFunction()										
.isImmediatePropagationStopped	R	event.isImmediatePropagationStopped()										
.isImmediatePropagationStopped()	R	event.isImmediatePropagationStopped()										
.isNumeric	R	jQuery.isNumeric()										
.isNumeric()	R	jQuery.isNumeric()										
.isPlainObject	R	jQuery.isPlainObject()										
.isPlainObject()	R	jQuery.isPlainObject()										
.isPropagationStopped	R	event.isPropagationStopped()										
.isPropagationStopped()	R	event.isPropagationStopped()										
.isRejected	R	deferred.isRejected()										
.isRejected()	R	deferred.isRejected()										
.isResolved	R	deferred.isResolved()										
.isResolved()	R	deferred.isResolved()										
.isWindow	R	jQuery.isWindow()										
.isWindow()	R	jQuery.isWindow()										
.isXMLDoc	R	jQuery.isXMLDoc()										
.isXMLDoc()	R	jQuery.isXMLDoc()										
.jquery	A			jQuery Internals\njQuery Properties\nJquery Object Instance Properties							<section class="prog__container"><p>A string containing the jQuery version number.</p><pre><code>$(selector).jquery() → String</code></pre></section>	https://api.jquery.com/jquery-2/
.keydown	R	.keydown()										
.keydown event	R	.keydown()										
.keydown()	A			jQuery Events\njQuery Keyboard Events							<section class="prog__container"><p>Bind an event handler to the "keydown" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).keydown(handler) → jQuery\n$(selector).keydown(eventData,handler) → jQuery\n$(selector).keydown() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/keydown/
.keydown() event	R	.keydown()										
.keypress	R	.keypress()										
.keypress event	R	.keypress()										
.keypress()	A			jQuery Events\njQuery Keyboard Events							<section class="prog__container"><p>Bind an event handler to the "keypress" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).keypress(handler) → jQuery\n$(selector).keypress(eventData,handler) → jQuery\n$(selector).keypress() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/keypress/
.keypress() event	R	.keypress()										
.keyup	R	.keyup()										
.keyup event	R	.keyup()										
.keyup()	A			jQuery Events\njQuery Keyboard Events							<section class="prog__container"><p>Bind an event handler to the "keyup" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).keyup(handler) → jQuery\n$(selector).keyup(eventData,handler) → jQuery\n$(selector).keyup() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/keyup/
.keyup() event	R	.keyup()										
.last	R	.last()										
.last()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Reduce the set of matched elements to the final one in the set.</p><pre><code>$(selector).last() → jQuery</code></pre></section>	https://api.jquery.com/last/
.length	A			jQuery Properties\nJquery Object Instance Properties							<section class="prog__container"><p>The number of elements in the jQuery object.</p><pre><code>$(selector).length() → Integer</code></pre></section>	https://api.jquery.com/length/
.live	R	.live()										
.live event	R	.live()										
.live()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Attach an event handler for all elements which match the current selector, now and in the future.</p><pre><code>$(selector).live(events,handler) → jQuery\n$(selector).live(events,data,handler) → jQuery\n$(selector).live(events) → jQuery</code></pre><p>Arguments</p><pre><code>events (String) : A string containing a JavaScript event type, such as "click" or "keydown." As of jQuery 1.4 the string can contain multiple, space-separated event types or custom event names.\nhandler (Function) : A function to execute at the time the event is triggered.\ndata (PlainObject) : An object containing data that will be passed to the event handler.\nevents (PlainObject) : A plain object of one or more JavaScript event types and functions to execute for them.</code></pre></section>	https://api.jquery.com/live/
.live() event	R	.live()										
.load	R	.load()										
.load event	R	.load()										
.load()	A			jQuery Ajax\njQuery Shorthand Methods							<section class="prog__container"><p>Load data from the server and place the returned HTML into the matched element.</p><pre><code>$(selector).load(url,data,complete) → jQuery</code></pre><p>Arguments</p><pre><code>url (String) : A string containing the URL to which the request is sent.\ndata (PlainObject| String) : A plain object or string that is sent to the server with the request.\ncomplete (Function) : A callback function that is executed when the request completes.</code></pre></section>	https://api.jquery.com/load/
.load() event	R	.load()										
.lock	R	callbacks.lock()										
.lock()	R	callbacks.lock()										
.locked	R	callbacks.locked()										
.locked()	R	callbacks.locked()										
.makeArray	R	jQuery.makeArray()										
.makeArray()	R	jQuery.makeArray()										
.map	R	.map()										
.map()	A			jQuery Traversing\njQuery Filtering							<section class="prog__container"><p>Pass each element in the current matched set through a function, producing a new jQuery object containing the return values.</p><pre><code>$(selector).map(callback) → jQuery</code></pre><p>Arguments</p><pre><code>callback (Function) : A function object that will be invoked for each element in the current set.</code></pre></section>	https://api.jquery.com/map/
.merge	R	jQuery.merge()										
.merge()	R	jQuery.merge()										
.metaKey	R	event.metaKey										
.mousedown	R	.mousedown()										
.mousedown event	R	.mousedown()										
.mousedown()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "mousedown" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).mousedown(handler) → jQuery\n$(selector).mousedown(eventData,handler) → jQuery\n$(selector).mousedown() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mousedown/
.mousedown() event	R	.mousedown()										
.mouseenter	R	.mouseenter()										
.mouseenter event	R	.mouseenter()										
.mouseenter()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to be fired when the mouse enters an element, or trigger that handler on an element.</p><pre><code>$(selector).mouseenter(handler) → jQuery\n$(selector).mouseenter(eventData,handler) → jQuery\n$(selector).mouseenter() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mouseenter/
.mouseenter() event	R	.mouseenter()										
.mouseleave	R	.mouseleave()										
.mouseleave event	R	.mouseleave()										
.mouseleave()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to be fired when the mouse leaves an element, or trigger that handler on an element.</p><pre><code>$(selector).mouseleave(handler) → jQuery\n$(selector).mouseleave(eventData,handler) → jQuery\n$(selector).mouseleave() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mouseleave/
.mouseleave() event	R	.mouseleave()										
.mousemove	R	.mousemove()										
.mousemove event	R	.mousemove()										
.mousemove()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "mousemove" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).mousemove(handler) → jQuery\n$(selector).mousemove(eventData,handler) → jQuery\n$(selector).mousemove() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mousemove/
.mousemove() event	R	.mousemove()										
.mouseout	R	.mouseout()										
.mouseout event	R	.mouseout()										
.mouseout()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "mouseout" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).mouseout(handler) → jQuery\n$(selector).mouseout(eventData,handler) → jQuery\n$(selector).mouseout() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mouseout/
.mouseout() event	R	.mouseout()										
.mouseover	R	.mouseover()										
.mouseover event	R	.mouseover()										
.mouseover()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "mouseover" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).mouseover(handler) → jQuery\n$(selector).mouseover(eventData,handler) → jQuery\n$(selector).mouseover() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mouseover/
.mouseover() event	R	.mouseover()										
.mouseup	R	.mouseup()										
.mouseup event	R	.mouseup()										
.mouseup()	A			jQuery Events\njQuery Mouse Events							<section class="prog__container"><p>Bind an event handler to the "mouseup" JavaScript event, or trigger that event on an element.</p><pre><code>$(selector).mouseup(handler) → jQuery\n$(selector).mouseup(eventData,handler) → jQuery\n$(selector).mouseup() → jQuery</code></pre><p>Arguments</p><pre><code>handler (Function) : A function to execute each time the event is triggered.\neventData (Anything) : An object containing data that will be passed to the event handler.</code></pre></section>	https://api.jquery.com/mouseup/
.mouseup() event	R	.mouseup()										
.namespace	R	event.namespace										
.next	R	.next()										
.next()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the immediately following sibling of each element in the set of matched elements. If a selector is provided, it retrieves the next sibling only if it matches that selector.</p><pre><code>$(selector).next(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/next/
.nextAll	R	.nextAll()										
.nextAll()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get all following siblings of each element in the set of matched elements, optionally filtered by a selector.</p><pre><code>$(selector).nextAll(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (String) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/nextAll/
.nextUntil	R	.nextUntil()										
.nextUntil()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get all following siblings of each element up to but not including the element matched by the selector, DOM node, or jQuery object passed.</p><pre><code>$(selector).nextUntil(selector,filter) → jQuery\n$(selector).nextUntil(element,filter) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to indicate where to stop matching following sibling elements.\nfilter (Selector) : A string containing a selector expression to match elements against.\nelement (Element| jQuery) : A DOM node or jQuery object indicating where to stop matching following sibling elements.</code></pre></section>	https://api.jquery.com/nextUntil/
.noConflict	R	jQuery.noConflict()										
.noConflict()	R	jQuery.noConflict()										
.noop	R	jQuery.noop()										
.noop()	R	jQuery.noop()										
.not	R	.not()										
.not()	A			jQuery Traversing\njQuery Filtering\njQuery Miscellaneous Traversal							<section class="prog__container"><p>Remove elements from the set of matched elements.</p><pre><code>$(selector).not(selector) → jQuery\n$(selector).not(function) → jQuery\n$(selector).not(selection) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector| Element| Array) : A string containing a selector expression, a DOM element, or an array of elements to match against the set.\nfunction (Function) : A function used as a test for each element in the set. It accepts two arguments, index, which is the element's index in the jQuery collection, and element, which is the DOM element. Within the function, this refers to the current DOM element.\nselection (jQuery) : An existing jQuery object to match the current set of elements against.</code></pre></section>	https://api.jquery.com/not/
.notify	R	deferred.notify()										
.notify()	R	deferred.notify()										
.notifyWith	R	deferred.notifyWith()										
.notifyWith()	R	deferred.notifyWith()										
.now	R	jQuery.now()										
.now()	R	jQuery.now()										
.off	R	.off()										
.off event	R	.off()										
.off()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Remove an event handler.</p><pre><code>$(selector).off(events,selector,handler) → jQuery\n$(selector).off(events,selector) → jQuery\n$(selector).off(event) → jQuery\n$(selector).off() → jQuery</code></pre><p>Arguments</p><pre><code>events (String) : One or more space-separated event types and optional namespaces, or just namespaces, such as "click", "keydown.myPlugin", or ".myPlugin".\nselector (String) : A selector which should match the one originally passed to .on() when attaching event handlers.\nhandler (Function) : A handler function previously attached for the event(s), or the special value false.\nevents (PlainObject) : An object where the string keys represent one or more space-separated event types and optional namespaces, and the values represent handler functions previously attached for the event(s).\nevent (Event) : A jQuery.Event object.</code></pre></section>	https://api.jquery.com/off/
.off() event	R	.off()										
.offset	R	.offset()										
.offset()	A			jQuery Css\njQuery Offset\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current coordinates of the first element in the set of matched elements, relative to the document.</p><pre><code>$(selector).offset() → Object</code></pre>\n<p>Set the current coordinates of every element in the set of matched elements, relative to the document.</p><pre><code>$(selector).offset(coordinates) → jQuery\n$(selector).offset(function) → jQuery</code></pre><p>Arguments</p><pre><code>coordinates (PlainObject) : An object containing the properties top and left, which are numbers indicating the new top and left coordinates for the elements.\nfunction (Function) : A function to return the coordinates to set. Receives the index of the element in the collection as the first argument and the current coordinates as the second argument. The function should return an object with the new top and left properties.</code></pre></section>	https://api.jquery.com/offset/
.offsetParent	R	.offsetParent()										
.offsetParent()	A			jQuery Offset\njQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the closest ancestor element that is positioned.</p><pre><code>$(selector).offsetParent() → jQuery</code></pre></section>	https://api.jquery.com/offsetParent/
.on	R	.on()										
.on event	R	.on()										
.on()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Attach an event handler function for one or more events to the selected elements.</p><pre><code>$(selector).on(events,selector,data,handler) → jQuery\n$(selector).on(events,selector,data) → jQuery</code></pre><p>Arguments</p><pre><code>events (String) : One or more space-separated event types and optional namespaces, such as "click" or "keydown.myPlugin".\nselector (String) : A selector string to filter the descendants of the selected elements that trigger the event. If the selector is null or omitted, the event is always triggered when it reaches the selected element.\ndata (Anything) : Data to be passed to the handler in event.data when an event is triggered.\nhandler (Function) : A function to execute when the event is triggered. The value false is also allowed as a shorthand for a function that simply does return false.\nevents (PlainObject) : An object in which the string keys represent one or more space-separated event types and optional namespaces, and the values represent a handler function to be called for the event(s).\nselector (String) : A selector string to filter the descendants of the selected elements that will call the handler. If the selector is null or omitted, the handler is always called when it reaches the selected element.\ndata (Anything) : Data to be passed to the handler in event.data when an event occurs.</code></pre></section>	https://api.jquery.com/on/
.on() event	R	.on()										
.one	R	.one()										
.one event	R	.one()										
.one()	A			jQuery Events\njQuery Event Handler Attachment							<section class="prog__container"><p>Attach a handler to an event for the elements. The handler is executed at most once per element per event type.</p><pre><code>$(selector).one(events,data,handler) → jQuery\n$(selector).one(events,selector,data,handler) → jQuery\n$(selector).one(events,selector,data) → jQuery</code></pre><p>Arguments</p><pre><code>events (String) : A string containing one or more JavaScript event types, such as "click" or "submit," or custom event names.\ndata (PlainObject) : An object containing data that will be passed to the event handler.\nhandler (Function) : A function to execute at the time the event is triggered.\nevents (String) : One or more space-separated event types and optional namespaces, such as "click" or "keydown.myPlugin".\nselector (String) : A selector string to filter the descendants of the selected elements that trigger the event. If the selector is null or omitted, the event is always triggered when it reaches the selected element.\ndata (Anything) : Data to be passed to the handler in event.data when an event is triggered.\nhandler (Function) : A function to execute when the event is triggered. The value false is also allowed as a shorthand for a function that simply does return false.\nevents (PlainObject) : An object in which the string keys represent one or more space-separated event types and optional namespaces, and the values represent a handler function to be called for the event(s).\nselector (String) : A selector string to filter the descendants of the selected elements that will call the handler. If the selector is null or omitted, the handler is always called when it reaches the selected element.\ndata (Anything) : Data to be passed to the handler in event.data when an event occurs.</code></pre></section>	https://api.jquery.com/one/
.one() event	R	.one()										
.outerHeight	R	.outerHeight()										
.outerHeight()	A			jQuery Css\njQuery Dimensions\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current computed outer height (including padding, border, and optionally margin) for the first element in the set of matched elements.</p><pre><code>$(selector).outerHeight(includeMargin) → Number</code></pre><p>Arguments</p><pre><code>includeMargin (Boolean) : A Boolean indicating whether to include the element's margin in the calculation.</code></pre>\n<p>Set the CSS outer height of each element in the set of matched elements.</p><pre><code>$(selector).outerHeight(value) → jQuery\n$(selector).outerHeight(function(index, height)) → jQuery</code></pre><p>Arguments</p><pre><code>value (String| Number) : A number representing the number of pixels, or a number along with an optional unit of measure appended (as a string).\nfunction(index, height) (Function) : A function returning the outer height to set. Receives the index position of the element in the set and the old outer height as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/outerHeight/
.outerWidth	R	.outerWidth()										
.outerWidth()	A			jQuery Css\njQuery Dimensions\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current computed outer width (including padding, border, and optionally margin) for the first element in the set of matched elements.</p><pre><code>$(selector).outerWidth(includeMargin) → Number</code></pre><p>Arguments</p><pre><code>includeMargin (Boolean) : A Boolean indicating whether to include the element's margin in the calculation.</code></pre>\n<p>Set the CSS outer width of each element in the set of matched elements.</p><pre><code>$(selector).outerWidth(value) → jQuery\n$(selector).outerWidth(function(index, width)) → jQuery</code></pre><p>Arguments</p><pre><code>value (String| Number) : A number representing the number of pixels, or a number along with an optional unit of measure appended (as a string).\nfunction(index, width) (Function) : A function returning the outer width to set. Receives the index position of the element in the set and the old outer width as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/outerWidth/
.pageX	R	event.pageX										
.pageY	R	event.pageY										
.param	R	jQuery.param()										
.param()	R	jQuery.param()										
.parent	R	.parent()										
.parent()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the parent of each element in the current set of matched elements, optionally filtered by a selector.</p><pre><code>$(selector).parent(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/parent/
.parents	R	.parents()										
.parents()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the ancestors of each element in the current set of matched elements, optionally filtered by a selector.</p><pre><code>$(selector).parents(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/parents/
.parentsUntil	R	.parentsUntil()										
.parentsUntil()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the ancestors of each element in the current set of matched elements, up to but not including the element matched by the selector, DOM node, or jQuery object.</p><pre><code>$(selector).parentsUntil(selector,filter) → jQuery\n$(selector).parentsUntil(element,filter) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to indicate where to stop matching ancestor elements.\nfilter (Selector) : A string containing a selector expression to match elements against.\nelement (Element| jQuery) : A DOM node or jQuery object indicating where to stop matching ancestor elements.</code></pre></section>	https://api.jquery.com/parentsUntil/
.parseHTML	R	jQuery.parseHTML()										
.parseHTML()	R	jQuery.parseHTML()										
.parseJSON	R	jQuery.parseJSON()										
.parseJSON()	R	jQuery.parseJSON()										
.parseXML	R	jQuery.parseXML()										
.parseXML()	R	jQuery.parseXML()										
.pipe	R	deferred.pipe()										
.pipe()	R	deferred.pipe()										
.position	R	.position()										
.position()	A			jQuery Css\njQuery Offset\njQuery Manipulation\njQuery Style Properties							<section class="prog__container"><p>Get the current coordinates of the first element in the set of matched elements, relative to the offset parent.</p><pre><code>$(selector).position() → Object</code></pre></section>	https://api.jquery.com/position/
.post	R	jQuery.post()										
.post()	R	jQuery.post()										
.prepend	R	.prepend()										
.prepend()	A			jQuery Manipulation\njQuery Dom Insertion Inside							<section class="prog__container"><p>Insert content, specified by the parameter, to the beginning of each element in the set of matched elements.</p><pre><code>$(selector).prepend(content,content) → jQuery\n$(selector).prepend(function) → jQuery</code></pre><p>Arguments</p><pre><code>content (htmlString| Element| Text| Array| jQuery) : DOM element, text node, array of elements and text nodes, HTML string, or jQuery object to insert at the beginning of each element in the set of matched elements.\ncontent (htmlString| Element| Text| Array| jQuery) : One or more additional DOM elements, text nodes, arrays of elements and text nodes, HTML strings, or jQuery objects to insert at the beginning of each element in the set of matched elements.\nfunction (Function) : A function that returns an HTML string, DOM element(s), text node(s), or jQuery object to insert at the beginning of each element in the set of matched elements. Receives the index position of the element in the set and the old HTML value of the element as arguments. Within the function, this refers to the current element in the set.</code></pre></section>	https://api.jquery.com/prepend/
.prependTo	R	.prependTo()										
.prependTo()	A			jQuery Manipulation\njQuery Dom Insertion Inside							<section class="prog__container"><p>Insert every element in the set of matched elements to the beginning of the target.</p><pre><code>$(selector).prependTo(target) → jQuery</code></pre><p>Arguments</p><pre><code>target (Selector| htmlString| Element| Array| jQuery) : A selector, element, HTML string, array of elements, or jQuery object; the matched set of elements will be inserted at the beginning of the element(s) specified by this parameter.</code></pre></section>	https://api.jquery.com/prependTo/
.prev	R	.prev()										
.prev()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get the immediately preceding sibling of each element in the set of matched elements. If a selector is provided, it retrieves the previous sibling only if it matches that selector.</p><pre><code>$(selector).prev(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/prev/
.prevAll	R	.prevAll()										
.prevAll()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get all preceding siblings of each element in the set of matched elements, optionally filtered by a selector.</p><pre><code>$(selector).prevAll(selector) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to match elements against.</code></pre></section>	https://api.jquery.com/prevAll/
.prevUntil	R	.prevUntil()										
.prevUntil()	A			jQuery Traversing\njQuery Tree Traversal							<section class="prog__container"><p>Get all preceding siblings of each element up to but not including the element matched by the selector, DOM node, or jQuery object.</p><pre><code>$(selector).prevUntil(selector,filter) → jQuery\n$(selector).prevUntil(element,filter) → jQuery</code></pre><p>Arguments</p><pre><code>selector (Selector) : A string containing a selector expression to indicate where to stop matching preceding sibling elements.\nfilter (Selector) : A string containing a selector expression to match elements against.\nelement (Element| jQuery) : A DOM node or jQuery object indicating where to stop matching preceding sibling elements.</code></pre></section>	https://api.jquery.com/prevUntil/
.preventDefault	R	event.preventDefault()										
.preventDefault()	R	event.preventDefault()										
.progress	R	deferred.progress()										
.progress()	R	deferred.progress()										
.promise	R	.promise()										
.promise()	A			jQuery Deferred Object							<section class="prog__container"><p> Return a Promise object to observe when all actions of a certain type bound to the collection, queued or not, have finished. </p><pre><code>$(selector).promise(type,target) → Promise</code></pre><p>Arguments</p><pre><code>type (String) : The type of queue that needs to be observed.\ntarget (PlainObject) : Object onto which the promise methods have to be attached</code></pre></section>	https://api.jquery.com/promise/
.prop	R	.prop()										
.prop()	A			jQuery Attributes\njQuery Manipulation\njQuery General Attributes							<section class="prog__container"><p>Get the value of a property for the first element in the set of matched elements.</p><pre><code>$(selector).prop(propertyName) → Anything</code></pre><p>Arguments</p><pre><code>propertyName (String) : The name of the property to get.</code></pre>\n<p>Set one or more properties for the set of matched elements.</p><pre><code>$(selector).prop(propertyName,value) → jQuery\n$(selector).prop(properties) → jQuery\n$(selector).prop(propertyName,function) → jQuery</code></pre><p>Arguments</p><pre><code>propertyName (String) : The name of the property to set.\nvalue (Anything) : A value to set for the property.\nproperties (PlainObject) : An object of property-value pairs to set.\nfunction (Function) : A function returning the value to set. Receives the index position of the element in the set and the old property value as arguments. Within the function, the keyword this refers to the current element.</code></pre></section>	https://api.jquery.com/prop/
.proxy	R	jQuery.proxy()										
.proxy()	R	jQuery.proxy()										
.pushStack	R	.pushStack()										
.pushStack()	A			jQuery Internals							<section class="prog__container"><p>Add a collection of DOM elements onto the jQuery stack.</p><pre><code>$(selector).pushStack(elements) → jQuery\n$(selector).pushStack(elements,name,arguments) → jQuery</code></pre><p>Arguments</p><pre><code>elements (Array) : An array of elements to push onto the stack and make into a new jQuery object.\nname (String) : The name of a jQuery method that generated the array of elements.\narguments (Array) : The arguments that were passed in to the jQuery method (for serialization).</code></pre></section>	https://api.jquery.com/pushStack/
.queue	R	.queue()										
